year,month,ENSO,field_4,field_5,field_6
1938,Annual_average,0.825,,,
1939,JAN,2.1,,,
1939,FEB,0.8,,,
1939,MAR,1.1,,,
1939,APR,0.7,,,
1939,MAY,-0.1,,,
1939,JUN,-0.2,,,
1939,JUL,0.8,,,
1939,AUG,-0.3,,,
1939,SEP,-1.1,,,
1939,OCT,-1.7,,,
1939,NOV,-1,,,
1939,DEC,-1.2,,,
1939,Annual_average,-0.008333333,,,
1940,JAN,-0.1,,,
1940,FEB,-0.8,,,
1940,MAR,-1.3,,,
1940,APR,-0.7,,,
1940,MAY,-1.2,,,
1940,JUN,-1.7,,,
1940,JUL,-1.6,,,
1940,AUG,-1.9,,,
1940,SEP,-2,,,
1940,OCT,-1.9,,,
1940,NOV,-0.9,,,
1940,DEC,-2.6,,,
1940,Annual_average,-1.391666667,,,
1941,JAN,-1.4,,,
1941,FEB,-2.2,,,
1941,MAR,-1.4,,,
1941,APR,-0.9,,,
1941,MAY,-0.6,,,
1941,JUN,-1.2,,,
1941,JUL,-2,,,
1941,AUG,-2,,,
1941,SEP,-0.9,,,
1941,OCT,-2.2,,,
1941,NOV,-1.1,,,
1941,DEC,-1.2,,,
1941,Annual_average,-1.425,,,
1942,JAN,-1.8,,,
1942,FEB,-0.7,,,
1942,MAR,-0.8,,,
1942,APR,-0.4,,,
1942,MAY,0.4,,,
1942,JUN,0.5,,,
1942,JUL,-0.2,,,
1942,AUG,0.2,,,
1942,SEP,0.9,,,
1942,OCT,0.7,,,
1942,NOV,-0.6,,,
1942,DEC,1.6,,,
1942,Annual_average,-0.016666667,,,
1943,JAN,1.2,,,
1943,FEB,1.2,,,
1943,MAR,0.3,,,
1943,APR,1,,,
1943,MAY,0.2,,,
1943,JUN,-0.7,,,
1943,JUL,0.2,,,
1943,AUG,0.6,,,
1943,SEP,0.5,,,
1943,OCT,0.8,,,
1943,NOV,0.2,,,
1943,DEC,-1.2,,,
1943,Annual_average,0.358333333,,,
1944,JAN,-1.2,,,
1944,FEB,0.4,,,
1944,MAR,0.5,,,
1944,APR,-0.4,,,
1944,MAY,-0.1,,,
1944,JUN,-0.4,,,
1944,JUL,-0.9,,,
1944,AUG,0.2,,,
1944,SEP,0.3,,,
1944,OCT,-1,,,
1944,NOV,-0.8,,,
1944,DEC,0.3,,,
1944,Annual_average,-0.258333333,,,
1945,JAN,0.6,,,
1945,FEB,0.7,,,
1945,MAR,1.4,,,
1945,APR,-0.5,,,
1945,MAY,0,,,
1945,JUN,0.5,,,
1945,JUL,0.3,,,
1945,AUG,1,,,
1945,SEP,0.9,,,
1945,OCT,0.1,,,
1945,NOV,-0.5,,,
1945,DEC,0.7,,,
1945,Annual_average,0.433333333,,,
1946,JAN,-0.4,,,
1946,FEB,0.4,,,
1946,MAR,-0.4,,,
1946,APR,-0.7,,,
1946,MAY,-0.9,,,
1946,JUN,-0.9,,,
1946,JUL,-1.1,,,
1946,AUG,-0.6,,,
1946,SEP,-1.8,,,
1946,OCT,-1.4,,,
1946,NOV,-0.3,,,
1946,DEC,-0.9,,,
1946,Annual_average,-0.75,,,
1947,JAN,-0.7,,,
1947,FEB,-0.8,,,
1947,MAR,1.2,,,
1947,APR,-0.4,,,
1947,MAY,-1.1,,,
1947,JUN,0.1,,,
1947,JUL,0.9,,,
1947,AUG,0.5,,,
1947,SEP,1.2,,,
1947,OCT,-0.3,,,
1947,NOV,0.7,,,
1947,DEC,0.5,,,
1947,Annual_average,0.15,,,
1948,JAN,-0.5,,,
1948,FEB,-0.5,,,
1948,MAR,-0.7,,,
1948,APR,0.2,,,
1948,MAY,0.3,,,
1948,JUN,-0.5,,,
1948,JUL,0,,,
1948,AUG,-0.6,,,
1948,SEP,-0.9,,,
1948,OCT,0.5,,,
1948,NOV,0.2,,,
1948,DEC,-0.9,,,
1948,Annual_average,-0.283333333,,,
1949,JAN,-1.1,,,
1949,FEB,0.1,,,
1949,MAR,0.5,,,
1949,APR,0.1,,,
1949,MAY,-0.5,,,
1949,JUN,-1,,,
1949,JUL,-0.2,,,
1949,AUG,-0.6,,,
1949,SEP,0.2,,,
1949,OCT,0.4,,,
1949,NOV,-0.8,,,
1949,DEC,0.7,,,
1949,Annual_average,-0.183333333,,,
1950,JAN,0.5,,,
1950,FEB,2.1,,,
1950,MAR,1.9,,,
1950,APR,1.2,,,
1950,MAY,0.6,,,
